ID,floor,lift,district,street,community,area,toward,model,rent,totalfloor
65,高楼层,无,顺义,顺义城,石园西区,61.00,南北,2室1厅1卫,2500.0,6
66,高楼层,有,通州,临河里,金隅自由筑,79.00,南,3室0厅1卫,3300.0,7
67,高楼层,有,顺义,顺义其它,鹭峯国际,90.00,东北,3室0厅1卫,4300.0,14
68,低楼层,未知,房山,阎村,绿城百合公寓春云苑,103.59,南北,2室1厅1卫,4000.0,5
69,低楼层,有,朝阳,十里河,林达海渔广场,411.30,东南北,1室0厅0卫,40000.0,15
70,低楼层,无,昌平,北七家,八仙别墅仙霞东里,214.00,南北,4室2厅3卫,10500.0,2
71,中楼层,无,大兴,西红门,同兴园,88.17,南北,3室1厅1卫,4500.0,6
72,低楼层,无,顺义,中央别墅区,嘉浩别墅,438.68,东南西北,6室3厅5卫,38000.0,2
73,中楼层,有,昌平,南邵,泰禾昌平拾景园,193.42,南北,4室2厅4卫,18000.0,6
74,中楼层,有,房山,长阳,半岛金街,77.93,东南,3室0厅1卫,3800.0,11
75,高楼层,无,朝阳,双井,双井北里,55.36,南北,2室1厅1卫,7900.0,6
76,高楼层,无,丰台,洋桥,洋桥北里,41.00,南北,1室1厅1卫,4800.0,6
77,低楼层,有,昌平,东关,水晶屿,52.00,西,2室0厅1卫,3400.0,7
78,低楼层,无,通州,马驹桥,天鹅堡,248.00,南北,3室2厅4卫,7500.0,3
79,低楼层,有,丰台,花乡,天伦锦城,88.90,南,1室1厅1卫,4500.0,20
80,低楼层,有,昌平,回龙观,流星花园三区,102.00,南北,2室1厅1卫,7200.0,6
81,中楼层,有,朝阳,亚运村,名人公寓,219.00,东南,3室2厅2卫,22000.0,17
82,低楼层,无,大兴,西红门,宏福园,110.00,南北,3室1厅1卫,5000.0,6
83,低楼层,未知,海淀,五棵松,永定路30号院,53.90,南北,2室1厅1卫,5800.0,6
84,低楼层,有,大兴,大兴新机场,中海云筑,90.00,南北,3室1厅1卫,3200.0,10
85,低楼层,有,大兴,枣园,波普公社,46.75,北,1室0厅1卫,3200.0,25
86,中楼层,无,顺义,顺义城,石园北区,77.14,南北,2室1厅1卫,2800.0,6
87,高楼层,有,朝阳,酒仙桥,丽都壹号,166.00,南,3室2厅2卫,20000.0,22
88,高楼层,有,西城,阜成门,物华大厦,226.46,东,4室2厅2卫,31251.0,24
89,中楼层,有,通州,武夷花园,金融街武夷融御,88.00,南西北,3室1厅1卫,8000.0,30
90,高楼层,有,大兴,大兴新机场,众美MIMO公馆,63.00,北,1室0厅1卫,2380.0,5
91,高楼层,有,大兴,亦庄,金色漫香林六期,93.00,南北,3室0厅2卫,6000.0,9
92,高楼层,无,昌平,东关,建安里小区,104.97,南北,3室2厅1卫,5000.0,6
93,低楼层,有,朝阳,望京,望京新城,59.00,东南,1室1厅1卫,7100.0,27
94,高楼层,有,顺义,顺义其它,中国铁建顺鑫汇,61.30,西,4室0厅2卫,3100.0,9
95,高楼层,有,大兴,大兴新机场,众美MIMO公馆,52.00,北,1室0厅1卫,2200.0,5
96,高楼层,有,通州,临河里,瑞都公园世家北区,225.00,南北,4室2厅2卫,10800.0,6
97,中楼层,有,西城,金融街,长安兴融中心,137.13,南,3室1厅2卫,33000.0,14
98,高楼层,无,西城,木樨地,西便门东里,53.00,南,2室1厅1卫,7600.0,6
99,低楼层,有,通州,武夷花园,京贸国际城,80.00,东南,2室1厅1卫,4300.0,35
100,中楼层,无,东城,广渠门,忠实里四巷,58.40,南北,2室1厅1卫,5900.0,6
101,高楼层,无,丰台,玉泉营,郑王坟141号院,56.00,南北,2室1厅1卫,5000.0,6
102,高楼层,无,丰台,刘家窑,同仁园,171.19,南北,5室2厅3卫,15000.0,7
103,低楼层,有,通州,九棵树(家乐福),龙湖蔚澜香醍,170.00,南北,5室2厅2卫,15000.0,5
104,低楼层,有,朝阳,华威桥,美景东方,152.25,南北,3室1厅2卫,15300.0,21
105,低楼层,有,西城,右安门内,清芷园,43.00,北,1室1厅1卫,8000.0,18
106,低楼层,无,密云,果园街道,银河花园,163.00,南北,4室2厅3卫,8000.0,3
107,低楼层,有,东城,东直门,东直门内北小街2号院,666.62,南北,4室2厅3卫,85000.0,20
108,低楼层,有,海淀,上地,宜品上层,58.00,南,1室0厅1卫,7000.0,9
109,低楼层,有,大兴,大兴新机场,御园C区,59.55,南,1室1厅1卫,2100.0,15
110,低楼层,有,昌平,西三旗,新龙大厦,44.00,东,1室0厅1卫,5000.0,21
111,低楼层,未知,海淀,五棵松,太平路44号院,133.00,南北,4室1厅2卫,13000.0,6
112,低楼层,有,东城,崇文门,国瑞城中区,228.36,南西北,5室2厅4卫,36000.0,11
113,中楼层,有,石景山,杨庄,茂华景公馆,176.00,东南北,3室2厅3卫,17000.0,9
114,中楼层,无,西城,西单,西黄城根45号院,62.00,南北,2室1厅1卫,13000.0,5
115,中楼层,有,朝阳,望京,悠乐汇,55.45,东,1室0厅1卫,7200.0,29
116,高楼层,无,朝阳,芍药居,惠新东街14号院,60.00,南北,2室1厅1卫,7600.0,6
117,低楼层,有,丰台,马家堡,时代风帆大厦,151.00,东南,3室1厅1卫,16000.0,24
118,低楼层,无,通州,北关,富河园,70.00,南北,2室1厅1卫,3600.0,6
119,低楼层,有,亦庄开发区,亦庄,林肯公园,204.02,西南,5室0厅3卫,16000.0,24
120,高楼层,有,朝阳,CBD,阳光100,48.72,北,1室1厅1卫,8500.0,33
121,低楼层,有,朝阳,朝阳门外,麒麟公馆,95.00,南北,2室1厅1卫,19000.0,24
122,低楼层,有,海淀,公主坟,翠微路甲10号院,56.91,北,3室0厅1卫,11000.0,6
123,低楼层,有,丰台,科技园区,怡海花园富泽园,145.00,东南,3室2厅2卫,12000.0,30
124,高楼层,无,朝阳,首都机场,首都机场南路西里,58.00,南,2室1厅1卫,4200.0,5
125,低楼层,无,海淀,白石桥,大慧寺20号院,47.00,南,1室1厅1卫,7200.0,6
126,低楼层,有,朝阳,望京,中广宜景湾,102.99,西南,2室1厅1卫,11000.0,26
127,中楼层,有,门头沟,大峪,中门寺南坡小区,48.00,南,1室1厅1卫,2700.0,28
128,高楼层,有,丰台,科技园区,广安康润家园东区,103.00,南北,3室1厅1卫,6200.0,21
129,低楼层,有,丰台,草桥,玺萌丽苑,84.00,西北,2室1厅1卫,6800.0,24
130,低楼层,有,通州,武夷花园,金融街武夷融御,90.00,南北,3室1厅1卫,7800.0,24
131,低楼层,有,海淀,新街口,五月华庭,36.43,南,1室0厅1卫,5800.0,12
132,中楼层,有,朝阳,四惠,壹线国际,72.00,东西,1室0厅1卫,6500.0,9
133,高楼层,有,海淀,牡丹园,藤花紫院,93.40,南西南,2室1厅1卫,12500.0,19
134,中楼层,有,昌平,天通苑,公园两栋,57.00,南,4室0厅1卫,5500.0,18
135,低楼层,无,顺义,顺义城,滨河小区,60.00,南北,2室1厅1卫,2600.0,6
136,高楼层,有,朝阳,太阳宫,太阳公元北区,68.00,南,1室1厅1卫,13000.0,27
137,高楼层,无,西城,六铺炕,人定湖西里,57.00,南,2室1厅1卫,8200.0,6
138,中楼层,有,丰台,科技园区,广安康润家园东区,75.04,南,2室1厅1卫,5000.0,22
139,中楼层,有,东城,广渠门,金桥国际,54.19,西,1室1厅1卫,8200.0,19
140,中楼层,无,通州,玉桥,公路局家属楼,61.35,南北,2室1厅1卫,3700.0,6
141,高楼层,有,门头沟,滨河西区,熙旺中心,47.00,西南,1室0厅1卫,3000.0,26
142,中楼层,有,大兴,枣园,首邑上城,113.65,东南,1室0厅1卫,6500.0,15
143,高楼层,无,西城,六铺炕,小八道湾,53.00,东南,2室1厅1卫,11200.0,6
144,中楼层,有,大兴,枣园,首开康乃馨城,87.00,南北,2室1厅1卫,4000.0,16
145,低楼层,有,朝阳,奥林匹克公园,澳林春天五期,130.00,东南,3室2厅2卫,12500.0,24
146,高楼层,有,朝阳,立水桥,明天第一城7号院,76.58,南,3室0厅1卫,7200.0,20
147,高楼层,有,通州,果园,苏荷时代,102.46,南北,3室1厅1卫,6500.0,18
148,高楼层,有,门头沟,大峪,黑山A5区,65.00,南,2室1厅1卫,3000.0,28
149,高楼层,无,海淀,皂君庙,财大家属院,60.00,南北,3室1厅1卫,10000.0,5
150,高楼层,有,朝阳,亚运村,荣尊堡国际俱乐部公寓,141.00,东,2室2厅2卫,17000.0,24
151,低楼层,无,大兴,旧宫,育龙家园,119.80,南北,3室1厅2卫,8500.0,6
152,中楼层,有,大兴,大兴新机场,众美MIMO公馆,51.56,北,1室0厅1卫,1900.0,5
153,中楼层,无,昌平,北七家,八仙别墅仙霞西里,147.00,南西北,3室2厅2卫,7000.0,5
154,低楼层,有,朝阳,中央别墅区,瑞悦府,317.00,南北,5室2厅3卫,24000.0,4
155,高楼层,有,朝阳,红庙,华贸公寓,130.00,南北,2室1厅2卫,19000.0,26
156,高楼层,有,通州,北关,朝北8080,47.00,南,1室0厅1卫,3900.0,7
157,高楼层,有,大兴,枣园,波普公社,58.00,北,2室0厅1卫,3800.0,20
158,中楼层,有,大兴,天宫院,保利春天派,37.00,南,1室0厅1卫,2850.0,11
159,高楼层,有,大兴,大兴其它,北京城建北京密码,61.35,北,4室0厅2卫,2300.0,7
160,中楼层,有,大兴,高米店,兴创D标,55.00,南北,3室0厅2卫,5500.0,9
161,高楼层,无,东城,和平里,交林,55.14,东南,2室1厅1卫,7500.0,4
162,低楼层,有,东城,永定门,望陶园小区,89.00,西,2室1厅1卫,6800.0,18
163,中楼层,有,海淀,苏州桥,长远天地,320.00,西北,1室1厅1卫,50000.0,21
164,低楼层,无,大兴,义和庄,联港嘉园D区,86.94,南北,2室1厅1卫,3500.0,6
165,中楼层,有,亦庄开发区,亦庄,力宝广场,64.00,西,1室0厅1卫,6500.0,24
166,高楼层,有,大兴,亦庄开发区其它,金茂逸墅,150.00,南北,4室2厅2卫,16000.0,16
167,低楼层,有,通州,北关,8哩岛,350.00,南北,5室3厅3卫,17000.0,6
168,低楼层,有,海淀,西三旗,SOCO公社,62.71,南,1室0厅1卫,8500.0,18
169,高楼层,无,大兴,黄村中,三合南里,82.76,南北,3室1厅1卫,3700.0,6
170,中楼层,有,顺义,李桥,馨港庄园二区,111.00,南北,2室2厅2卫,4200.0,6
171,低楼层,无,丰台,卢沟桥,卢沟桥北里,53.01,南,3室1厅1卫,4000.0,5
172,中楼层,无,石景山,古城,中海寰宇天下熙山府,95.00,南北,3室2厅1卫,9000.0,26
173,高楼层,有,顺义,后沙峪,阿凯笛亚庄园,170.00,南北,2室2厅2卫,21000.0,5
174,中楼层,有,顺义,顺义其它,空港国际,50.42,西,2室0厅1卫,3300.0,14
175,中楼层,有,朝阳,工体,光彩国际公寓,228.00,南北,3室1厅2卫,30000.0,27
176,高楼层,无,大兴,南中轴机场商务区,华远和墅,66.00,南,1室1厅1卫,2400.0,6
177,高楼层,无,大兴,枣园,福苑小区,66.00,南北,2室1厅1卫,3100.0,6
178,高楼层,有,石景山,八角,融景城,134.63,东南北,3室2厅2卫,10000.0,17
179,中楼层,无,通州,武夷花园,BOBO自由城,103.00,南北,2室2厅2卫,5200.0,5
180,中楼层,有,朝阳,常营,柏林爱乐二期,128.00,南北,3室1厅2卫,11500.0,7
181,低楼层,无,东城,东四,东四四条,14.20,南北,1室1厅1卫,6800.0,1
182,低楼层,有,怀柔,怀柔,东亚华欣湾,570.42,南北,7室2厅4卫,15000.0,3
183,中楼层,未知,通州,临河里,群芳园,80.00,南北,3室1厅1卫,3900.0,6
184,低楼层,有,朝阳,望京,融科橄榄城一期,145.00,南北,3室2厅2卫,19000.0,28
185,高楼层,无,东城,永定门,琉璃井路,63.00,南北,2室1厅1卫,5300.0,4
186,中楼层,有,海淀,西直门,时代之光名苑,73.79,西,2室1厅1卫,14000.0,16
187,高楼层,有,丰台,科技园区,广安康润家园东区,76.00,南北,2室1厅1卫,4800.0,20
188,中楼层,有,大兴,大兴新机场,御园B区,126.00,南北,3室1厅2卫,3400.0,15
189,中楼层,无,顺义,顺义城,裕龙西区,129.00,南北,3室2厅2卫,4800.0,6
190,低楼层,有,通州,北关,金地格林格林,75.00,南,2室1厅1卫,4300.0,18
191,中楼层,有,朝阳,北苑,乐想汇,71.00,南,1室0厅1卫,6500.0,18
192,低楼层,有,丰台,马连道,康宁居,60.00,南,1室1厅1卫,5800.0,15
193,高楼层,有,朝阳,亚运村小营,凯旋城,197.00,南北,4室1厅2卫,19800.0,23
194,高楼层,有,朝阳,中央别墅区,瑞悦府,89.23,南北,3室1厅1卫,10600.0,11
195,低楼层,无,大兴,枣园,福苑小区,75.00,南北,2室1厅1卫,3600.0,6
196,高楼层,有,朝阳,国展,豪成大厦,118.00,东,3室1厅0卫,12000.0,25
197,高楼层,有,朝阳,双井,怡馨园,301.43,南西北,5室1厅3卫,30000.0,24
198,中楼层,无,海淀,牡丹园,牡丹园东里,40.00,东,1室1厅1卫,6500.0,6
199,低楼层,无,海淀,小西天,北师大院内,79.50,南北,3室1厅1卫,16000.0,6
200,低楼层,有,朝阳,北苑,润泽庄园墅郡,401.71,南北,5室2厅6卫,45000.0,3
201,中楼层,无,通州,万达,潞河中学北街,60.00,南北,2室1厅1卫,3500.0,6
202,高楼层,有,大兴,大兴新机场,御园B区,125.00,南北,3室1厅2卫,3500.0,15
203,中楼层,有,朝阳,酒仙桥,丽都壹号,122.68,南北,3室2厅2卫,17000.0,20
204,高楼层,有,朝阳,中央别墅区,瑞悦府,90.00,南北,3室1厅1卫,9800.0,8
205,中楼层,有,朝阳,CBD,和乔丽致公寓,125.00,南西,3室1厅2卫,25000.0,16
206,中楼层,有,丰台,丰台其它,领秀翡翠山A区,230.00,南北,4室2厅2卫,14500.0,4
207,低楼层,有,朝阳,朝阳公园,泛海国际碧海园,179.00,南北,3室2厅2卫,25000.0,18
208,低楼层,有,通州,临河里,香溪家园,91.75,南北,2室1厅1卫,5200.0,20
209,高楼层,有,门头沟,城子,阁外山水,114.00,南北,3室1厅1卫,4600.0,11
210,低楼层,有,朝阳,管庄,京通苑,79.76,东南,2室1厅1卫,5000.0,18
211,高楼层,无,大兴,西红门,同华园,98.97,南北,2室1厅1卫,4500.0,6
212,高楼层,有,海淀,西直门,交大嘉园,136.00,东南,3室1厅2卫,20000.0,19
213,高楼层,有,房山,良乡,瑞雪春堂,116.47,南北,3室1厅2卫,3800.0,15
214,中楼层,有,丰台,方庄,时代芳群,202.00,南北,4室2厅3卫,24000.0,6
215,高楼层,有,大兴,天宫院,住总万科橙,93.28,南北,3室1厅1卫,5800.0,28
216,高楼层,有,通州,武夷花园,月季园,89.46,南,2室1厅1卫,4500.0,18
217,低楼层,有,昌平,北七家,华润理想国,91.00,南,3室1厅1卫,4900.0,18
218,高楼层,有,通州,武夷花园,百合湾,37.00,西北,3室0厅1卫,4000.0,14
219,中楼层,有,东城,和平里,盛德紫阙,139.49,东南,3室1厅1卫,22500.0,20
220,中楼层,无,海淀,西三旗,建材城东一里,60.81,南北,2室1厅1卫,5600.0,7
221,中楼层,无,通州,万达,新城东里,37.89,南,1室1厅1卫,3200.0,5
222,低楼层,无,东城,交道口,安定门内大街,21.00,东,1室0厅0卫,17000.0,1
223,中楼层,有,朝阳,建国门外,长安6号,63.15,南,1室0厅1卫,7500.0,18
224,中楼层,有,朝阳,三元桥,时间国际中心,225.00,东西,1室0厅0卫,37640.0,19
225,中楼层,有,朝阳,大望路,金港国际,163.00,南北,3室2厅2卫,16000.0,16
226,低楼层,无,朝阳,北苑,黄金苑,83.46,东西,3室1厅1卫,8200.0,6
227,高楼层,有,大兴,大兴其它,i立方,65.00,南,2室0厅1卫,2200.0,11
228,中楼层,无,门头沟,滨河西区,霁月园,109.00,南北,3室1厅1卫,5500.0,6
229,高楼层,无,顺义,李桥,樱花园一区,96.51,南北,2室2厅1卫,3300.0,7
230,低楼层,有,朝阳,CBD,建外SOHO,151.00,东,1室0厅1卫,29260.0,26
231,中楼层,未知,海淀,西二旗,领秀新硅谷2号院,215.00,南北,5室2厅3卫,22000.0,4
232,中楼层,无,西城,马连道,太平里,64.00,南,2室1厅1卫,6600.0,7
233,中楼层,无,东城,永定门,郭庄北里,75.00,南北,3室1厅1卫,7600.0,6
234,低楼层,有,朝阳,朝青,天鹅湾北区,176.43,南北,3室2厅2卫,18000.0,24
235,高楼层,有,海淀,甘家口,景王坟,60.00,南,2室1厅1卫,9500.0,20
236,中楼层,有,石景山,鲁谷,六合园,87.17,东南,2室1厅1卫,6500.0,18
237,低楼层,无,西城,六铺炕,塔院胡同12号院,40.40,南,1室1厅1卫,6500.0,6
238,低楼层,有,石景山,鲁谷,远洋山水,139.00,南北,3室2厅2卫,12000.0,26
239,高楼层,有,东城,朝阳门内,朝阳首府,183.00,南北,3室1厅2卫,30000.0,11
240,高楼层,有,顺义,天竺,万通天竺新新家园,120.00,南北,3室2厅1卫,11500.0,15
241,高楼层,有,丰台,马家堡,名都家苑,91.00,南,2室1厅1卫,8200.0,12
242,低楼层,有,朝阳,定福庄,金福家园,119.00,东南,3室2厅2卫,8500.0,18
243,高楼层,有,朝阳,工体,光彩国际公寓,272.00,东南,4室2厅2卫,40000.0,28
244,高楼层,有,石景山,鲁谷,远洋山水,117.18,南,2室1厅1卫,8500.0,27
245,高楼层,无,顺义,马坡,马坡花园二区,110.00,南北,3室1厅2卫,3500.0,6
246,中楼层,无,石景山,鲁谷,玉泉路65号院,58.00,南,2室1厅1卫,5800.0,6
247,中楼层,有,丰台,青塔,首开玲珑汇,61.00,南,2室0厅1卫,4500.0,6
248,低楼层,无,昌平,回龙观,华远静林湾,238.00,南北,4室2厅3卫,18000.0,3
249,高楼层,有,朝阳,常营,首开东都汇,71.00,东南,3室0厅1卫,7800.0,14
250,高楼层,无,朝阳,管庄,烟厂宿舍,54.00,南北,2室1厅1卫,5000.0,6
251,中楼层,有,朝阳,CBD,万达广场公寓,61.00,北,1室1厅1卫,10300.0,27
252,高楼层,有,大兴,黄村中,阳光乐府,139.26,南北,3室2厅2卫,6300.0,15
253,低楼层,有,海淀,五棵松,永定路西里,112.30,东南,3室1厅1卫,10500.0,17
254,中楼层,有,朝阳,CBD,金茂公寓,166.93,南北,3室1厅2卫,19000.0,6
255,低楼层,有,大兴,旧宫,朗润园一期,275.00,南北,6室2厅3卫,20000.0,9
256,中楼层,无,顺义,中央别墅区,水木兰亭,169.00,南北,3室2厅3卫,18000.0,5
257,低楼层,有,朝阳,常营,长楹天街,141.00,南北,3室2厅2卫,15000.0,18
258,低楼层,有,朝阳,北苑,山水蓝维,145.05,南西北,3室2厅2卫,13000.0,7
259,高楼层,无,亦庄开发区,亦庄,天宝家园,60.00,南,1室1厅1卫,4500.0,6
260,低楼层,有,朝阳,酒仙桥,阳光上东,207.00,东南北,4室2厅2卫,29700.0,31
261,低楼层,有,海淀,西三旗,华鸿家园,95.00,南北,2室2厅1卫,6600.0,6
262,高楼层,无,大兴,黄村中,兴政西里,96.00,南北,3室1厅1卫,4400.0,6
263,低楼层,有,朝阳,大望路,石韵浩庭,59.00,西北,1室1厅1卫,9000.0,15
264,低楼层,有,大兴,旧宫,国韵村,108.58,南北,3室1厅1卫,8000.0,11
265,高楼层,有,朝阳,双井,合生国际花园,100.00,东北,2室1厅1卫,13000.0,24
266,高楼层,无,顺义,顺义城,裕龙二区,94.00,南北,3室1厅1卫,3300.0,6
267,低楼层,有,房山,阎村,绿城百合公寓玉泉苑,93.60,南北,2室2厅1卫,3100.0,17
268,低楼层,有,朝阳,太阳宫,火星园,103.00,南北,2室1厅1卫,14500.0,24
269,中楼层,无,海淀,新街口,索家坟,45.40,东,1室1厅1卫,6300.0,6
270,低楼层,无,朝阳,芍药居,芍药居2号院,63.72,南北,2室1厅1卫,7500.0,6
271,低楼层,有,昌平,回龙观,TBD住总万科天地,137.00,南,4室1厅3卫,16000.0,6
272,高楼层,有,大兴,天宫院,熙兆大厦,47.00,东,2室0厅1卫,3300.0,11
273,高楼层,有,朝阳,朝青,天鹅湾北区,110.75,西北,3室2厅2卫,20000.0,18
274,中楼层,有,朝阳,芍药居,世奥国际中心,71.75,南,1室0厅1卫,7800.0,25
275,低楼层,无,海淀,清河,高巢,69.55,北,3室0厅1卫,21000.0,15
276,低楼层,有,大兴,高米店,绿地中央广场,50.57,东,2室0厅1卫,5600.0,12
277,中楼层,有,朝阳,望京,大西洋新城C区,141.00,西南东北,3室2厅2卫,21000.0,8
278,中楼层,有,朝阳,国展,力鸿花园,91.15,西,2室2厅1卫,10000.0,24
279,中楼层,有,朝阳,奥林匹克公园,天朗园,232.43,南,4室2厅2卫,28000.0,30
280,中楼层,无,通州,潞苑,小潞邑,108.00,南北,2室1厅1卫,4000.0,6
281,中楼层,有,东城,崇文门,新景家园东区,56.88,南,1室1厅1卫,7300.0,17
282,低楼层,有,大兴,南中轴机场商务区,金色漫香郡南区,126.35,南北,3室1厅2卫,3800.0,9
283,低楼层,有,朝阳,芍药居,世奥国际中心,101.08,东,2室0厅1卫,13000.0,25
284,高楼层,有,朝阳,百子湾,金泰先锋北区,138.00,南北,3室2厅2卫,13800.0,16
285,高楼层,有,海淀,西北旺,西山壹号院,280.00,南北,3室1厅2卫,33000.0,6
286,高楼层,无,大兴,亦庄,三羊里,78.00,南北,2室1厅1卫,4200.0,6
287,低楼层,有,朝阳,望京,方恒国际中心,80.00,东北,2室0厅1卫,12000.0,28
